gov,name,name_clean,position,date_start,date_end,ministry
Renner II,Johann Zerdik,Johann Zerdik,Staatssekretär,1919-03-15,1919-10-17,"Staatsamt für Handel und Gewerbe, Industrie und Bauten"
Renner II,Dr. Wilhelm Ellenbogen,Wilhelm Ellenbogen,Unterstaatssekretär,1919-03-15,1919-10-17,"Staatsamt für Handel und Gewerbe, Industrie und Bauten"
Renner II,Dr. Julius Deutsch,Julius Deutsch,Staatssekretär,1919-03-15,1919-10-17,Staatsamt für Heerwesen
Renner II,Dr. Erwin Waihs,Erwin Waihs,Unterstaatssekretär,1919-03-15,1919-10-17,Staatsamt für Heerwesen
Renner II,Matthias Eldersch,Matthias Eldersch,Staatssekretär,1919-05-09,1919-10-17,Staatsamt für Inneres und Unterricht
Renner II,Dr. Karl Renner,Karl Renner,Leiter des Staatsamtes,1919-03-15,1919-05-09,Staatsamt für Inneres und Unterricht
Renner II,Otto Glöckel,Otto Glöckel,Unterstaatssekretär für Unterricht,1919-03-15,1919-10-17,Staatsamt für Inneres und Unterricht
Renner II,Wilhelm Miklas,Wilhelm Miklas,Unterstaatssekretär für Kultus,1919-03-15,1919-10-17,Staatsamt für Inneres und Unterricht
Renner II,Richard Bratusch,Richard Bratusch,Staatssekretär,1919-03-15,1919-10-17,Staatsamt für Justiz
Renner II,Josef Stöckler,Josef Stöckler,Staatssekretär,1919-03-15,1919-10-17,Staatsamt für Land- und Forstwirtschaft
Renner II,Ferdinand Hanusch,Ferdinand Hanusch,Staatssekretär,1919-03-15,1919-10-17,Staatsamt für soziale Verwaltung
Renner II,Dr. Josef Resch,Josef Resch,Unterstaatssekretär,1919-04-04,1919-10-17,Staatsamt für soziale Verwaltung
Renner II,Dr. Julius Tandler,Julius Tandler,Unterstaatssekretär für Volksgesundheit,1919-05-09,1919-10-17,Staatsamt für soziale Verwaltung
Renner II,Dr. Ignaz Kaup,Ignaz Kaup,Betraut mit der Fortführung der Geschäfte der Volksgesundheit,1919-03-15,1919-05-09,Staatsamt für soziale Verwaltung
Renner II,Ludwig Paul,Ludwig Paul,Staatssekretär,1919-03-15,1919-10-17,Staatsamt für Verkehrswesen
Renner II,Johann Löwenfeld-Russ,Johann Löwenfeld-Russ,Staatssekretär,1919-03-15,1919-10-17,Staatsamt für Volksernährung
Renner II,Dr. Otto Bauer,Otto Bauer,Präsident der Sozialisierungskommission,1919-03-15,1919-10-17,Staatsamt ohne Portefeuille
Renner I,Dr. Karl Renner,Karl Renner,Leiter der Staatskanzlei (Staatskanzler),1918-10-30,1919-03-15,Staatskanzlei
Renner I,Dr. Otto Bauer,Otto Bauer,Staatssekretär,1918-11-21,1919-03-15,Staatsamt für Äußeres
Renner I,Dr. Victor Adler,Victor Adler,Staatssekretär,1918-10-30,1918-11-11,Staatsamt für Äußeres
Renner I,Egon Pflügl,Egon Pflügl,Unterstaatssekretär,1918-11-05,1919-03-15,Staatsamt für Äußeres
Renner I,Dr. Leopold Waber,Leopold Waber,Unterstaatssekretär,1918-11-05,1919-03-15,Staatsamt für Äußeres
Renner I,Dr. Otto Bauer,Otto Bauer,Unterstaatssekretärs,1918-10-31,1918-11-21,Staatsamt für Äußeres
Renner I,Dr. Otto Steinwender,Otto Steinwender,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für Finanzen
Renner I,Dr. Eugen Beck,Eugen Beck,Unterstaatssekretär,1918-11-05,1919-03-15,Staatsamt für Finanzen
Renner I,Dr. Ferdinand Grimm,Ferdinand Grimm,Unterstaatssekretär,1918-11-21,1919-03-05,Staatsamt für Finanzen
Renner I,Dr. Karl Urban,Karl Urban,Staatssekretär,1918-10-30,1919-03-15,"Staatsamt für Gewerbe, Industrie und Handel"
Renner I,Richard Riedl,Richard Riedl,Unterstaatssekretär,1918-11-07,1919-03-15,"Staatsamt für Gewerbe, Industrie und Handel"
Renner I,Josef Mayer,Josef Mayer,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für Heerwesen
Renner I,Dr. Erwin Waihs,Erwin Waihs,Unterstaatssekretär,1918-11-05,1919-03-15,Staatsamt für Heerwesen
Renner I,Dr. Julius Deutsch,Julius Deutsch,Unterstaatssekretär,1918-11-05,1919-03-15,Staatsamt für Heerwesen
Renner I,Dr. Heinrich Mataja,Heinrich Mataja,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für Inneres
Renner I,Otto Glöckel,Otto Glöckel,Unterstaatssekretär,1918-11-05,1919-03-15,Staatsamt für Inneres
Renner I,abs. iur. Richard Marckhl,Richard Marckhl,Unterstaatssekretär,1918-11-05,1919-03-15,Staatsamt für Inneres
Renner I,Dr. Julius Roller,Julius Roller,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für Justiz
Renner I,Josef Stöckler,Josef Stöckler,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für Land- und Forstwirtschaft
Renner I,Johann Zerdik,Johann Zerdik,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für öffentliche Arbeiten
Renner I,Ferdinand Hanusch,Ferdinand Hanusch,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für soziale Fürsorge
Renner I,Dr. Josef Resch,Josef Resch,Unterstaatssekretär,1918-11-01,1919-03-15,Staatsamt für soziale Fürsorge
Renner I,Rafael Pacher,Rafael Pacher,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für Unterricht
Renner I,Ing. Carl Jukel,Carl Jukel,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für Verkehrswesen
Renner I,Ing. Bruno Enderes,Bruno Enderes,Unterstaatssekretär,1918-11-07,1919-03-15,Staatsamt für Verkehrswesen
Renner I,Johann Löwenfeld-Russ,Johann Löwenfeld-Russ,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für Volksernährung
Renner I,Norbert Wallenstorfer,Norbert Wallenstorfer,Unterstaatssekretär,1918-11-21,1919-03-15,Staatsamt für Volksernährung
Renner I,Dr. Ignaz Kaup,Ignaz Kaup,Staatssekretär,1918-10-30,1919-03-15,Staatsamt für Volksgesundheit
Renner I,Dr. Julius Sylvester,Julius Sylvester,Staatsnotar,1918-10-30,1919-03-05,Staatsnotar
