gov,name,name_clean,position,date_start,date_end,ministry
Ramek II,Dr. Anton Rintelen,Anton Rintelen,Bundesminister,1926-06-25,1926-10-20,Bundesministerium für Unterricht
Ramek II,Dr. Josef Resch,Josef Resch,Betraut mit der vorläufigen Fortführung der Geschäfte des Bundesministeriums,1926-06-16,1926-06-25,Bundesministerium für Unterricht
Ramek II,Dr. Emil Schneider,Emil Schneider,Bundesminister,1926-01-15,1926-06-16,Bundesministerium für Unterricht
Ramek II,Dr. Josef Resch,Josef Resch,Bundesminister,1926-01-15,1926-10-20,Bundesministerium für soziale Verwaltung
Ramek II,Josef Kollmann,Josef Kollmann,Bundesminister,1926-01-15,1926-10-20,Bundesministerium für Finanzen
Ramek II,Andreas Thaler,Andreas Thaler,Bundesminister,1926-01-15,1926-10-20,Bundesministerium für Land- und Forstwirtschaft
Ramek II,Dr. Hans Schürff,Hans Schürff,Bundesminister,1926-01-15,1926-10-20,Bundesministerium für Handel und Verkehr
Ramek II,Carl Vaugoin,Carl Vaugoin,Bundesminister,1926-01-15,1926-10-20,Bundesministerium für Heereswesen
Ramek I,Dr. Rudolf Ramek,Rudolf Ramek,Bundeskanzler,1924-11-20,1926-01-15,Bundeskanzleramt
Ramek I,Dr. Leopold Waber,Leopold Waber,Vizekanzler,1924-11-20,1926-01-15,Bundeskanzleramt
Ramek I,Dr. Heinrich Mataja,Heinrich Mataja,Bundesminister mit der Führung der auswärtigen Angelegenheiten betraut,1924-11-20,1926-01-15,Bundeskanzleramt
Ramek I,Dr. Leopold Waber,Leopold Waber,Bundesminister mit der Leitung der Justizangelegenheiten betraut,1924-11-20,1926-01-15,Bundeskanzleramt
Ramek I,Dr. Emil Schneider,Emil Schneider,Bundesminister,1924-11-20,1926-01-15,Bundesministerium für Unterricht
Ramek I,Dr. Josef Resch,Josef Resch,Bundesminister,1924-11-20,1926-01-15,Bundesministerium für soziale Verwaltung
Ramek I,Dr. Jakob Ahrer,Jakob Ahrer,Bundesminister,1924-11-20,1926-01-15,Bundesministerium für Finanzen
Ramek I,Rudolf Buchinger,Rudolf Buchinger,Bundesminister,1924-11-20,1926-01-15,Bundesministerium für Land- und Forstwirtschaft
Ramek I,Dr. Hans Schürff,Hans Schürff,Bundesminister,1924-11-20,1926-01-15,Bundesministerium für Handel und Verkehr
Ramek I,Carl Vaugoin,Carl Vaugoin,Bundesminister,1924-11-20,1926-01-15,Bundesministerium für Heereswesen
Seipel III,Dr. Ignaz Seipel,Ignaz Seipel,Bundeskanzler,1923-11-20,1924-11-20,Bundeskanzleramt
Seipel III,Dr. Felix Frank,Felix Frank,Vizekanzler,1923-11-20,1924-11-20,Bundeskanzleramt
Seipel III,Dr. Felix Frank,Felix Frank,Betraut mit der Leitung der Justizangelegenheiten,1923-11-20,1924-11-20,Bundeskanzleramt
Seipel III,Dr. Alfred Grünberger,Alfred Grünberger,Betraut mit der Führung der auswärtigen Angelegenheiten,1923-11-20,1924-11-20,Bundeskanzleramt
Seipel III,Dr. Emil Schneider,Emil Schneider,Bundesminister,1923-11-20,1924-11-20,Bundesministerium für Unterricht
Seipel III,Richard Schmitz,Richard Schmitz,Bundesminister,1923-11-20,1924-11-20,Bundesministerium für soziale Verwaltung
Seipel III,Dr. Viktor Kienböck,Viktor Kienböck,Bundesminister,1923-11-20,1924-11-20,Bundesministerium für Finanzen
Seipel III,Rudolf Buchinger,Rudolf Buchinger,Bundesminister,1923-11-20,1924-11-20,Bundesministerium für Land- und Forstwirtschaft
Seipel III,Dr. Hans Schürff,Hans Schürff,Bundesminister,1923-11-20,1924-11-20,Bundesministerium für Handel und Verkehr
Seipel III,Carl Vaugoin,Carl Vaugoin,Bundesminister,1923-11-20,1924-11-20,Bundesministerium für Heereswesen
Seipel II,Dr. Ignaz Seipel,Ignaz Seipel,Bundeskanzler,1923-04-17,1923-11-20,Bundeskanzleramt
Seipel II,Dr. Felix Frank,Felix Frank,Vizekanzler,1923-04-17,1923-11-20,Bundeskanzleramt
Seipel II,Dr. Felix Frank,Felix Frank,Betraut mit der Leitung der Justizangelegenheiten,1923-04-17,1923-11-20,Bundeskanzleramt
Seipel II,Dr. Alfred Grünberger,Alfred Grünberger,Betraut mit der Führung der auswärtigen Angelegenheiten,1923-04-17,1923-11-20,Bundeskanzleramt
Seipel II,Dr. Emil Schneider,Emil Schneider,Bundesminister,1923-04-17,1923-11-20,Bundesministerium für Unterricht
Seipel II,Richard Schmitz,Richard Schmitz,Bundesminister,1923-04-17,1923-11-20,Bundesministerium für soziale Verwaltung
Seipel II,Dr. Viktor Kienböck,Viktor Kienböck,Bundesminister,1923-04-17,1923-11-20,Bundesministerium für Finanzen
Seipel II,Rudolf Buchinger,Rudolf Buchinger,Bundesminister,1923-04-17,1923-11-20,Bundesministerium für Land- und Forstwirtschaft
Seipel II,Dr. Hans Schürff,Hans Schürff,Bundesminister,1923-04-17,1923-11-20,Bundesministerium für Handel und Verkehr
Seipel II,Carl Vaugoin,Carl Vaugoin,Bundesminister,1923-04-17,1923-11-20,Bundesministerium für Heereswesen
Seipel I,Dr. Ignaz Seipel,Ignaz Seipel,Bundeskanzler,1922-05-31,1923-04-17,Bundeskanzleramt
Seipel I,Dr. Felix Frank,Felix Frank,Vizekanzler,1922-05-31,1923-04-17,Bundeskanzleramt
Seipel I,Dr. Alfred Grünberger,Alfred Grünberger,Bundesminister für Äußeres,1922-05-31,1923-04-17,Bundeskanzleramt
Seipel I,Dr. Felix Frank,Felix Frank,Betraut mit der Leitung des Bundesministeriums,1922-05-31,1923-04-17,Bundesministerium für Inneres und Unterricht
Seipel I,Dr. Emil Schneider,Emil Schneider,Betraut mit der Leitung der Angelegenheiten des Unterrichts und Kultus,1922-05-31,1923-04-17,Bundesministerium für Inneres und Unterricht
Seipel I,Dr. Leopold Waber,Leopold Waber,Bundesminister,1922-05-31,1923-04-16,Bundesministerium für Justiz
Seipel I,Dr. Viktor Kienböck,Viktor Kienböck,Bundesminister,1922-11-14,1923-04-17,Bundesministerium für Finanzen
Seipel I,August Ségur,August Ségur,Bundesminister,1922-05-31,1922-11-14,Bundesministerium für Finanzen
Seipel I,Rudolf Buchinger,Rudolf Buchinger,Bundesminister,1922-05-31,1923-04-17,Bundesministerium für Land- und Forstwirtschaft
Seipel I,Emil Kraft,Emil Kraft,Bundesminister,1922-05-31,1923-04-17,"Bundesministerium für Handel und Gewerbe, Industrie und Bauten"
Seipel I,Dr. Franz Odehnal,Franz Odehnal,Bundesminister,1922-05-31,1923-04-17,Bundesministerium für Verkehrswesen
Seipel I,Richard Schmitz,Richard Schmitz,Bundesminister,1922-05-31,1923-04-16,Bundesministerium für soziale Verwaltung
Seipel I,Carl Vaugoin,Carl Vaugoin,Bundesminister,1922-05-31,1923-04-16,Bundesministerium für Heereswesen
Seipel I,Rudolf Buchinger,Rudolf Buchinger,Betraut mit der Leitung des Bundesministeriums,1922-05-31,1922-08-31,Bundesministerium für Volksernährung
Schober II,abs. iur. DDDr. h.c Johannes Schober,c Johannes Schober,Bundeskanzler,1922-01-27,1922-05-31,Bundeskanzleramt
Schober II,Walter Breisky,Walter Breisky,Vizekanzler,1922-01-27,1922-05-31,Bundeskanzleramt
Schober II,Walter Breisky,Walter Breisky,Betraut mit der Leitung der Angelegenheiten des Unterrichts und Kultus,1922-01-27,1922-05-31,Bundesministerium für Inneres und Unterricht
